headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes
哎,おい/ねえ,ㄞ,āi,助詞,5,common,ai,word,,
唉,はい/ああ/ため息,ㄞ,āi,助詞,5,common,ai,word,,
愛,愛する / 愛する/好む,ㄞˋ / ㄞˋ,ài / ài,名詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
愛情,恋愛,ㄞˋ ㄑㄧㄥˊ,àiqíng,名詞,5,common,ai,word,,
愛惜,大切にする/惜しむ,ㄞˋ ㄒㄧˊ,àixí,状態動詞,5,common,ai,word,,
愛心,思いやり/慈愛,ㄞˋ ㄒㄧㄣ,àixīn,名詞,5,common,ai,word,,
按,押す/棚上げする,ㄢˋ / ㄢˋ,àn / àn,介詞(前置詞)/動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
安定,安定した,ㄢ ㄉㄧㄥˋ,āndìng,状態動詞(形容詞),5,common,ai,word,,
安靜,静かな,ㄢ ㄐㄧㄥˋ,ānjìng,状態動詞(形容詞),5,common,ai,word,,
安排,手配する/計画する,ㄢ ㄆㄞˊ,ānpái,名詞/動詞,5,common,ai,word,,
安心,安心した,ㄢ ㄒㄧㄣ,ānxīn,状態動詞(形容詞),5,common,ai,word,,
按照,～に従って,ㄢˋ ㄓㄠˋ,ànzhào,介詞(前置詞),5,common,ai,word,,
把,〜を(目的語を前に出す介詞) / 握る/取っ手,ㄅㄚˇ / ㄅㄚˇ,bǎ / bǎ,量詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
白,白い,ㄅㄞˊ,bái,状態動詞(形容詞),5,common,ai,word,,
擺,並べる/置く,ㄅㄞˇ,bǎi,動詞,5,common,ai,word,,
榜樣,手本/模範,ㄅㄤˇ ㄧㄤˋ,bǎngyàng,名詞,5,common,ai,word,,
班機,定期便/フライト,ㄅㄢ ㄐㄧ,bānjī,名詞,5,common,ai,word,,
辦理,処理する/手続きする,ㄅㄢˋ ㄌㄧˇ,bànlǐ,動詞,5,common,ai,word,,
半天,長い時間,ㄅㄢˋ ㄊㄧㄢ,bàntiān,名詞,5,common,ai,word,,
包,包む/〜袋(量詞)/バッグ / 包む/覆う,ㄅㄠ / ㄅㄠ,bāo / bāo,動詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
包含,含む/包含する,ㄅㄠ ㄏㄢˊ,bāohán,状態動詞,5,common,ai,word,,
寶貝,宝物/愛しい人,ㄅㄠˇ ㄅㄟˋ / ㄅㄠˇ ㄅㄟˋ,bǎobèi / bǎobèi,名詞/状態動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
寶貴,貴重な,ㄅㄠˇ ㄍㄨㄟˋ,bǎoguì,状態動詞(形容詞),5,common,ai,word,,
保守,保守的な/守る,ㄅㄠˇ ㄕㄡˇ,bǎoshǒu,状態動詞(形容詞),5,common,ai,word,,
保養,手入れする/養生する,ㄅㄠˇ ㄧㄤˇ,bǎoyǎng,動詞,5,common,ai,word,,
保證,保証する/確約,ㄅㄠˇ ㄓㄥˋ,bǎozhèng,名詞/動詞,5,common,ai,word,,原表記: 保證/証
抱,抱く/抱っこする,ㄅㄠˋ / ㄅㄠˋ,bào / bào,動詞/状態動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
抱怨,不満を言う/愚痴る,ㄅㄠˋ ㄩㄢˋ,bàoyuàn,動詞,5,common,ai,word,,
報名,申し込む/登録する,ㄅㄠˋ ㄇㄧㄥˊ,bàomíng,離合動詞,5,common,ai,word,,
