headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes
員工,従業員/スタッフ,ㄩㄢˊ ㄍㄨㄥ,yuángōng,名詞,5,common,ai,word,,
原諒,許す,ㄩㄢˊ ㄌㄧㄤˋ,yuánliàng,状態動詞,5,common,ai,word,,
願望,願望/望み,ㄩㄢˋ ㄨㄤˋ,yuànwàng,名詞,5,common,ai,word,,
約,約束する/誘う / 量る/約束する,ㄩㄝ / ㄩㄝ,yuē / yuē,副詞,4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
閱讀,読む/読書,ㄩㄝˋ ㄉㄨˊ,yuèdú,動詞,5,common,ai,word,,
樂團,楽団/バンド,ㄩㄝˋ ㄊㄨㄢˊ,yuètuán,名詞,5,common,ai,word,,
運氣,運,ㄩㄣˋ ㄑㄧˋ,yùnqì,名詞,5,common,ai,word,,
在,〜している(進行中) / 存在する/〜にいる,ㄗㄞˋ / ㄗㄞˋ,zài / zài,状態動詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
在意,気にする,ㄗㄞˋ ㄧˋ,zàiyì,状態動詞,5,common,ai,word,,
在於,〜にある/〜次第だ,ㄗㄞˋ ㄩˊ,zàiyú,状態動詞,5,common,ai,word,,
早,早い / 早い/朝,ㄗㄠˇ / ㄗㄠˇ,zǎo / zǎo,副詞,1,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
早日,早いうちに,ㄗㄠˇ ㄖˋ,zǎorì,副詞,5,common,ai,word,,
早晚,朝晩/いずれ,ㄗㄠˇ ㄨㄢˇ / ㄗㄠˇ ㄨㄢˇ,zǎowǎn / zǎowǎn,名詞/副詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
造成,引き起こす,ㄗㄠˋ ㄔㄥˊ,zàochéng,変化動詞,5,common,ai,word,,
噪音,騒音,ㄗㄠˋ ㄧㄣ,zàoyīn,名詞,5,common,ai,word,,
增加,増やす/増加する,ㄗㄥ ㄐㄧㄚ,zēngjiā/zēng,変化動詞,5,common,ai,word,,原表記: 增加/增
責任,責任/義務,ㄗㄜˊ ㄖㄣˋ,zérèn,名詞,5,common,ai,word,,
知,知る,ㄓ,zhī,状態動詞,5,common,ai,word,,
之後,その後,ㄓ ㄏㄡˋ,zhīhòu,名詞,5,common,ai,word,,
之間,間/〜の間,ㄓ ㄐㄧㄢ / ㄓ ㄐㄧㄢ,zhījiān / zhījiān,名詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
之前,前/以前,ㄓ ㄑㄧㄢˊ,zhīqián,名詞,5,common,ai,word,,
直,まっすぐな/直接,ㄓˊ / ㄓˊ,zhí / zhí,状態動詞(形容詞)/副詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
直到,〜まで,ㄓˊ ㄉㄠˋ,zhídào,介詞(前置詞),5,common,ai,word,,
值得,価値がある,ㄓˊ ˙ㄉㄜ,zhíde,状態動詞,5,common,ai,word,,
殖民地,植民地,ㄓˊ ㄇㄧㄣˊ ㄉㄧˋ,zhímíndì,名詞,5,common,ai,word,,
職業,職業/専門の,ㄓˊ ㄧㄝˋ,zhíyè,名詞,5,common,ai,word,,
職員,職員/社員,ㄓˊ ㄩㄢˊ,zhíyuán,名詞,5,common,ai,word,,
指,指す/指,ㄓˇ,zhǐ,動詞,5,common,ai,word,,
只是,ただ〜だけ/だが,ㄓˇ ㄕˋ / ㄓˇ ㄕˋ,zhǐshì / zhǐshì,接続詞/副詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
只有,〜しか〜ない,ㄓˇ ㄧㄡˇ,zhǐyǒu,副詞/接続詞,5,common,ai,word,,
制度,制度/システム,ㄓˋ ㄉㄨˋ,zhìdù,名詞,5,common,ai,word,,
智慧,知恵/知能,ㄓˋ ㄏㄨㄟˋ,zhìhuì,名詞,5,common,ai,word,,
至少,少なくとも,ㄓˋ ㄕㄠˇ,zhìshǎo,副詞,5,common,ai,word,,
至於,〜については,ㄓˋ ㄩˊ,zhìyú,介詞(前置詞),5,common,ai,word,,
摘,摘む/取り外す,ㄓㄞ,zhāi,動詞,5,common,ai,word,,
站,駅/立つ / 駅/立つ,ㄓㄢˋ / ㄓㄢˋ,zhàn / zhàn,名詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
暫時,一時的な/しばらく,ㄓㄢˋ ㄕˊ,zhànshí,副詞,5,common,ai,word,,
戰爭,戦争,ㄓㄢˋ ㄓㄥ,zhànzhēng,名詞,5,common,ai,word,,
掌握,把握する/支配する,ㄓㄤˇ ㄨㄛˋ,zhǎngwò,動詞,5,common,ai,word,,
