headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes
狐疑,疑う/不審に思う,ㄏㄨˊ ㄧˊ,húyí,状態動詞(形容詞),7,common,ai,word,,
戶口,戸籍/住民登録,ㄏㄨˋ ㄎㄡˇ,hùkǒu,名詞,7,common,ai,word,,
互補,補完し合う,ㄏㄨˋ ㄅㄨˇ,hùbǔ,状態動詞(形容詞),7,common,ai,word,,
互惠,互恵的な/相互利益の,ㄏㄨˋ ㄏㄨㄟˋ,hùhuì,状態動詞(形容詞),7,common,ai,word,,
護,守る/保護する,ㄏㄨˋ,hù,動詞,7,common,ai,word,,
花瓣,花びら,ㄏㄨㄚ ㄅㄢˋ,huābàn,名詞,7,common,ai,word,,
花朵,花,ㄏㄨㄚ ㄉㄨㄛˇ,huāduǒ,名詞,7,common,ai,word,,
花卉,草花,ㄏㄨㄚ ㄏㄨㄟˋ,huāhuì,名詞,7,common,ai,word,,
花紋,模様/柄,ㄏㄨㄚ ㄨㄣˊ,huāwén,名詞,7,common,ai,word,,
花樣,模様/やり方/手口,ㄏㄨㄚ ㄧㄤˋ,huāyàng,名詞,7,common,ai,word,,
划不來,割に合わない,ㄏㄨㄚˊ ㄅㄨˋ ㄌㄞˊ,huábùlái,状態動詞(形容詞),7,common,ai,word,,
划得來,割に合う,ㄏㄨㄚˊ ˙ㄉㄜ ㄌㄞˊ,huádelái,状態動詞(形容詞),7,common,ai,word,,
華裔,華僑系の人,ㄏㄨㄚˊ ㄧˋ,huáyì,名詞,7,common,ai,word,,
化工,化学工業/化学工学,ㄏㄨㄚˋ ㄍㄨㄥ,huàgōng,名詞,7,common,ai,word,,
話劇,演劇/現代劇,ㄏㄨㄚˋ ㄐㄩˋ,huàjù,名詞,7,common,ai,word,,
畫展,絵画展,ㄏㄨㄚˋ ㄓㄢˇ,huàzhǎn,名詞,7,common,ai,word,,
劃時代,画期的な,ㄏㄨㄚˋ ㄕˊ ㄉㄞˋ,huàshídài,状態動詞(連体用),7,common,ai,word,,
懷,胸中/心,ㄏㄨㄞˊ,huái,状態動詞,7,common,ai,word,,
歡送,見送る,ㄏㄨㄢ ㄙㄨㄥˋ,huānsòng,動詞,7,common,ai,word,,
幻象,幻影,ㄏㄨㄢˋ ㄒㄧㄤˋ,huànxiàng,名詞,7,common,ai,word,,
換取,交換して得る,ㄏㄨㄢˋ ㄑㄩˇ,huànqǔ,動詞,7,common,ai,word,,
患,患う/災難,ㄏㄨㄢˋ,huàn,状態動詞,7,common,ai,word,,
荒唐,荒唐無稽な/馬鹿げた,ㄏㄨㄤ ㄊㄤˊ,huāngtáng,状態動詞(形容詞),7,common,ai,word,,
慌張,慌てる/うろたえる,ㄏㄨㄤ ㄓㄤ,huāngzhāng,状態動詞(形容詞),7,common,ai,word,,
惶恐,恐れおののく,ㄏㄨㄤˊ ㄎㄨㄥˇ,huángkǒng,状態動詞(形容詞),7,common,ai,word,,
恍惚,ぼんやりした/うわの空,ㄏㄨㄤˇ ㄏㄨ,huǎnghū,状態動詞(形容詞),7,common,ai,word,,
灰塵,ほこり,ㄏㄨㄟ ㄔㄣˊ,huīchén,名詞,7,common,ai,word,,
輝煌,輝かしい/燦然たる,ㄏㄨㄟ ㄏㄨㄤˊ,huīhuáng,状態動詞(形容詞),7,common,ai,word,,
回合,ラウンド/回戦,ㄏㄨㄟˊ ㄏㄜˊ,huíhé,名詞,7,common,ai,word,,
回絕,拒絶する,ㄏㄨㄟˊ ㄐㄩㄝˊ,huíjué,動詞,7,common,ai,word,,
回升,持ち直す/回復する,ㄏㄨㄟˊ ㄕㄥ,huíshēng,変化動詞,7,common,ai,word,,
迴響,反響/こだま,ㄏㄨㄟˊ ㄒㄧㄤˇ,huíxiǎng,名詞,7,common,ai,word,,原表記: 迴響/回響
毀,破壊する/中傷する,ㄏㄨㄟˇ,huǐ,動詞,7,common,ai,word,,
毀損,損壊する,ㄏㄨㄟˇ ㄙㄨㄣˇ,huǐsǔn,動詞,7,common,ai,word,,
