headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes
緣故,理由/原因,ㄩㄢˊ ㄍㄨˋ,yuángù,名詞,6,common,ai,word,,
原來,なんだ〜だったのか/もともと / もともと/実は,ㄩㄢˊ ㄌㄞˊ / ㄩㄢˊ ㄌㄞˊ,yuánlái / yuánlái,状態動詞(連体用),4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
原理,原理/原則,ㄩㄢˊ ㄌㄧˇ,yuánlǐ,名詞,6,common,ai,word,,
原料,原材料,ㄩㄢˊ ㄌㄧㄠˋ,yuánliào,名詞,6,common,ai,word,,
圓滿,円満な/完璧な,ㄩㄢˊ ㄇㄢˇ,yuánmǎn,状態動詞(形容詞),6,common,ai,word,,
原始,原始的な/最初の,ㄩㄢˊ ㄕˇ,yuánshǐ,状態動詞(形容詞),6,common,ai,word,,
冤枉,濡れ衣を着せる/不当な,ㄩㄢ ㄨㄤˇ,yuānwǎng,状態動詞(形容詞)/状態動詞,6,common,ai,word,,
原先,当初の/以前の,ㄩㄢˊ ㄒㄧㄢ,yuánxiān,副詞,6,common,ai,word,,
圓形,円形,ㄩㄢˊ ㄒㄧㄥˊ,yuánxíng,名詞,6,common,ai,word,,
原則上,原則として,ㄩㄢˊ ㄗㄜˊ ㄕㄤˋ,yuánzéshàng,副詞,6,common,ai,word,,
原子筆,ボールペン,ㄩㄢˊ ㄗˇ ㄅㄧˇ,yuánzǐbǐ,名詞,6,common,ai,word,,
預報,予報,ㄩˋ ㄅㄠˋ,yùbào,名詞,6,common,ai,word,,
語調,イントネーション,ㄩˇ ㄉㄧㄠˋ,yǔdiào,名詞,6,common,ai,word,,
預定,予定する,ㄩˋ ㄉㄧㄥˋ,yùdìng,動詞,6,common,ai,word,,
預訂,予約する,ㄩˋ ㄉㄧㄥˋ,yùdìng,動詞,6,common,ai,word,,
月分,月,ㄩㄝˋ ㄈㄣˋ,yuèfèn,名詞,6,common,ai,word,,
月球,月,ㄩㄝˋ ㄑㄧㄡˊ,yuèqiú,名詞,6,common,ai,word,,
預計,予測する/見込む,ㄩˋ ㄐㄧˋ,yùjì,助動詞,6,common,ai,word,,
遇見,出会う,ㄩˋ ㄐㄧㄢˋ,yùjiàn,変化動詞,6,common,ai,word,,
娛樂,娯楽/楽しませる,ㄩˊ ㄌㄜˋ,yúlè,名詞,6,common,ai,word,,
暈,めまいがする/混乱した,ㄩㄣ,yūn,状態動詞(形容詞),6,common,ai,word,,
運輸,輸送する/運送,ㄩㄣˋ ㄕㄨ,yùnshū,動詞,6,common,ai,word,,
運送,運送する,ㄩㄣˋ ㄙㄨㄥˋ,yùnsòng,動詞,6,common,ai,word,,
允許,許可する,ㄩㄣˇ ㄒㄩˇ,yǔnxǔ,動詞,6,common,ai,word,,
運用,運用する/使う,ㄩㄣˋ ㄩㄥˋ,yùnyòng,動詞,6,common,ai,word,,
運轉,運転する/回転する,ㄩㄣˋ ㄓㄨㄢˇ,yùnzhuǎn,自動詞,6,common,ai,word,,
與其,～するよりむしろ,ㄩˇ ㄑㄧˊ,yǔqí,接続詞,6,common,ai,word,,
語氣,口調/語気,ㄩˇ ㄑㄧˋ,yǔqì,名詞,6,common,ai,word,,
預算,予算,ㄩˋ ㄙㄨㄢˋ,yùsuàn,名詞,6,common,ai,word,,
預先,あらかじめ,ㄩˋ ㄒㄧㄢ,yùxiān/yù,副詞,6,common,ai,word,,原表記: 預先/預
語音,音声/発音,ㄩˇ ㄧㄣ,yǔyīn,名詞,6,common,ai,word,,
砸,叩き壊す/失敗する,ㄗㄚˊ,zá,動詞,6,common,ai,word,,
雜,雑多な/混ざった,ㄗㄚˊ,zá,状態動詞(形容詞),6,common,ai,word,,
