headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes
開除,解雇する/追放する,ㄎㄞ ㄔㄨˊ,kāichú,動詞,6,common,ai,word,,
開刀,手術する,ㄎㄞ ㄉㄠ,kāidāo,離合動詞,6,common,ai,word,,
開動,始動する/動き出す,ㄎㄞ ㄉㄨㄥˋ,kāidòng,自動詞,6,common,ai,word,,
開發,開発する,ㄎㄞ ㄈㄚ / ㄎㄞ ㄈㄚ,kāifā / kāifā,動詞/名詞,6,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
開戶,口座を開く,ㄎㄞ ㄏㄨˋ,kāihù,離合動詞,6,common,ai,word,,
開課,開講する/授業を始める,ㄎㄞ ㄎㄜˋ,kāikè,離合動詞,6,common,ai,word,,
開明,開明的な,ㄎㄞ ㄇㄧㄥˊ,kāimíng,状態動詞(形容詞),6,common,ai,word,,
開設,開設する,ㄎㄞ ㄕㄜˋ,kāishè,動詞,6,common,ai,word,,
開拓,開拓する,ㄎㄞ ㄊㄨㄛˋ,kāituò,動詞,6,common,ai,word,,
開演,開演する,ㄎㄞ ㄧㄢˇ,kāiyǎn,変化動詞,6,common,ai,word,,
看,見る / 世話をする/見る,ㄎㄢˋ / ㄎㄢˋ,kàn / kàn,状態動詞,1,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
砍,切り倒す/切る,ㄎㄢˇ,kǎn,動詞,6,common,ai,word,,
看得起,一目置く/尊重する,ㄎㄢˋ ˙ㄉㄜ ㄑㄧˇ,kàndeqǐ,状態動詞,6,common,ai,word,,
抗議,抗議する,ㄎㄤˋ ㄧˋ,kàngyì,動詞,6,common,ai,word,,
看家,留守番をする/得意な,ㄎㄢ ㄐㄧㄚ,kānjiā,自動詞,6,common,ai,word,,
看看,ちょっと見る,ㄎㄢˋ ˙ㄎㄢ,kànkan,,6,common,ai,word,,原表記: 看看(˙ㄎㄢ)
看來,見たところ,ㄎㄢˋ ㄌㄞˊ,kànlái,副詞,6,common,ai,word,,
看樣子,見たところ,ㄎㄢˋ ㄧㄤˋ ˙ㄗ,kànyàngzi,副詞,6,common,ai,word,,
靠,寄りかかる/近づく,ㄎㄠˋ / ㄎㄠˋ,kào / kào,介詞(前置詞)/状態動詞,6,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
考察,視察する/調査する,ㄎㄠˇ ㄔㄚˊ,kǎochá,動詞,6,common,ai,word,,
靠近,近づく,ㄎㄠˋ ㄐㄧㄣˋ,kàojìn,動詞,6,common,ai,word,,
考卷,試験問題,ㄎㄠˇ ㄐㄩㄢˋ,kǎojuàn,名詞,6,common,ai,word,,
考慮,考慮する,ㄎㄠˇ ㄌㄩˋ,kǎolǜ,動詞,6,common,ai,word,,
考取,試験に合格する,ㄎㄠˇ ㄑㄩˇ,kǎoqǔ,変化動詞,6,common,ai,word,,
卡通,アニメ,ㄎㄚˇ ㄊㄨㄥ,kǎtōng,名詞,6,common,ai,word,,
客房,客室,ㄎㄜˋ ㄈㄤˊ,kèfáng,名詞,6,common,ai,word,,
客觀,客観的,ㄎㄜˋ ㄍㄨㄢ,kèguān,状態動詞(形容詞),6,common,ai,word,,
客戶,顧客,ㄎㄜˋ ㄏㄨˋ,kèhù,名詞,6,common,ai,word,,
可是,しかし / しかし,ㄎㄜˇ ㄕˋ / ㄎㄜˇ ㄕˋ,kěshì / kěshì,副詞,1,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
課外,課外の,ㄎㄜˋ ㄨㄞˋ,kèwài,状態動詞(連体用),6,common,ai,word,,
可喜,喜ばしい,ㄎㄜˇ ㄒㄧˇ,kěxǐ,状態動詞(形容詞),6,common,ai,word,,
